Distrito/Ilha,Concelho,Freguesia Pré RATF,Alteração RATF,Freguesia Final (Pós RATF)
Aveiro,Águeda,Aguada de Cima,Sem alteração,Aguada de Cima
Aveiro,Águeda,Fermentelos,Sem alteração,Fermentelos
Aveiro,Águeda,Macinhata do Vouga,Sem alteração,Macinhata do Vouga
Aveiro,Águeda,Valongo do Vouga,Sem alteração,Valongo do Vouga
Aveiro,Águeda,Águeda,Agregação,União das freguesias de Águeda e Borralha
Aveiro,Águeda,Borralha,Agregação,União das freguesias de Águeda e Borralha
Aveiro,Águeda,Barrô,Agregação,União das freguesias de Barrô e Aguada de Baixo
Aveiro,Águeda,Aguada de Baixo,Agregação,União das freguesias de Barrô e Aguada de Baixo
Aveiro,Águeda,Castanheira do Vouga,Agregação,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão"
Aveiro,Águeda,Belazaima do Chão,Agregação,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão"
Aveiro,Águeda,Agadão,Agregação,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão"
Aveiro,Águeda,Recardães,Agregação,União das freguesias de Recardães e Espinhel
Aveiro,Águeda,Espinhel,Agregação,União das freguesias de Recardães e Espinhel
Aveiro,Águeda,Travassô,Agregação,União das freguesias de Travassô e Óis da Ribeira
Aveiro,Águeda,Óis da Ribeira,Agregação,União das freguesias de Travassô e Óis da Ribeira
Aveiro,Águeda,Trofa,Agregação,"União das freguesias de Trofa, Segadães e Lamas do Vouga"
Aveiro,Águeda,Segadães,Agregação,"União das freguesias de Trofa, Segadães e Lamas do Vouga"
Aveiro,Águeda,Lamas do Vouga,Agregação,"União das freguesias de Trofa, Segadães e Lamas do Vouga"
Aveiro,Águeda,Préstimo,Agregação,União das freguesias do Préstimo e Macieira de Alcoba
Aveiro,Águeda,Macieira de Alcoba,Agregação,União das freguesias do Préstimo e Macieira de Alcoba
Aveiro,Albergaria-a-Velha,Alquerubim,Sem alteração,Alquerubim
Aveiro,Albergaria-a-Velha,Angeja,Sem alteração,Angeja
Aveiro,Albergaria-a-Velha,Branca,Sem alteração,Branca
Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,Sem alteração,Ribeira de Fráguas
Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,Agregação,Albergaria-a-Velha e Valmaior
Aveiro,Albergaria-a-Velha,Valmaior,Agregação,Albergaria-a-Velha e Valmaior
Aveiro,Albergaria-a-Velha,São João de Loure,Agregação,São João de Loure e Frossos
Aveiro,Albergaria-a-Velha,Frossos,Agregação,São João de Loure e Frossos
Aveiro,Anadia,Avelãs de Caminho,Sem alteração,Avelãs de Caminho
Aveiro,Anadia,Avelãs de Cima,Sem alteração,Avelãs de Cima
Aveiro,Anadia,Moita,Sem alteração,Moita
Aveiro,Anadia,Sangalhos,Sem alteração,Sangalhos
Aveiro,Anadia,São Lourenço do Bairro,Sem alteração,São Lourenço do Bairro
Aveiro,Anadia,Vila Nova de Monsarros,Sem alteração,Vila Nova de Monsarros
Aveiro,Anadia,Vilarinho do Bairro,Sem alteração,Vilarinho do Bairro
Aveiro,Anadia,Paredes do Bairro,Agregação,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas"
Aveiro,Anadia,Amoreira da Gândara,Agregação,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas"
Aveiro,Anadia,Ancas,Agregação,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas"
Aveiro,Anadia,Arcos,Agregação,União das freguesias de Arcos e Mogofores
Aveiro,Anadia,Mogofores,Agregação,União das freguesias de Arcos e Mogofores
Aveiro,Anadia,Tamengos,Agregação,"União das freguesias de Tamengos, Aguim e Óis do Bairro"
Aveiro,Anadia,Aguim,Agregação,"União das freguesias de Tamengos, Aguim e Óis do Bairro"
Aveiro,Anadia,Óis do Bairro,Agregação,"União das freguesias de Tamengos, Aguim e Óis do Bairro"
Aveiro,Arouca,Alvarenga,Sem alteração,Alvarenga
Aveiro,Arouca,Chave,Sem alteração,Chave
Aveiro,Arouca,Escariz,Sem alteração,Escariz
Aveiro,Arouca,Fermedo,Sem alteração,Fermedo
Aveiro,Arouca,Mansores,Sem alteração,Mansores
Aveiro,Arouca,Moldes,Sem alteração,Moldes
Aveiro,Arouca,Rossas,Sem alteração,Rossas
Aveiro,Arouca,Santa Eulália,Sem alteração,Santa Eulália
Aveiro,Arouca,São Miguel do Mato,Sem alteração,São Miguel do Mato
Aveiro,Arouca,Tropeço,Sem alteração,Tropeço
Aveiro,Arouca,Urrô,Sem alteração,Urrô
Aveiro,Arouca,Várzea,Sem alteração,Várzea
Aveiro,Arouca,Arouca,Agregação,União das freguesias de Arouca e Burgo
Aveiro,Arouca,Burgo,Agregação,União das freguesias de Arouca e Burgo
Aveiro,Arouca,Cabreiros,Agregação,União das freguesias de Cabreiros e Albergaria da Serra
Aveiro,Arouca,Albergaria da Serra,Agregação,União das freguesias de Cabreiros e Albergaria da Serra
Aveiro,Arouca,Canelas,Agregação,União das freguesias de Canelas e Espiunca
Aveiro,Arouca,Espiunca,Agregação,União das freguesias de Canelas e Espiunca
Aveiro,Arouca,Covelo de Paivó,Agregação,União das freguesias de Covelo de Paivó e Janarde
Aveiro,Arouca,Janarde,Agregação,União das freguesias de Covelo de Paivó e Janarde
Aveiro,Aveiro,Aradas,Sem alteração,Aradas
Aveiro,Aveiro,Cacia,Sem alteração,Cacia
Aveiro,Aveiro,Esgueira,Sem alteração,Esgueira
Aveiro,Aveiro,Oliveirinha,Sem alteração,Oliveirinha
Aveiro,Aveiro,São Bernardo,Sem alteração,São Bernardo
Aveiro,Aveiro,São Jacinto,Sem alteração,São Jacinto
Aveiro,Aveiro,Santa Joana,Sem alteração,Santa Joana
Aveiro,Aveiro,Eixo,Agregação,Eixo e Eirol
Aveiro,Aveiro,Eirol,Agregação,Eixo e Eirol
Aveiro,Aveiro,Nossa Senhora de Fátima,Agregação,"Requeixo, Nossa Senhora de Fátima e Nariz"
Aveiro,Aveiro,Requeixo,Agregação,"Requeixo, Nossa Senhora de Fátima e Nariz"
Aveiro,Aveiro,Nariz,Agregação,"Requeixo, Nossa Senhora de Fátima e Nariz"
Aveiro,Aveiro,Vera Cruz,Agregação,União das freguesias de Glória e Vera Cruz
Aveiro,Aveiro,Glória,Agregação,União das freguesias de Glória e Vera Cruz
Aveiro,Castelo de Paiva,Fornos,Sem alteração,Fornos
Aveiro,Castelo de Paiva,Real,Sem alteração,Real
Aveiro,Castelo de Paiva,Santa Maria de Sardoura,Sem alteração,Santa Maria de Sardoura
Aveiro,Castelo de Paiva,São Martinho de Sardoura,Sem alteração,São Martinho de Sardoura
Aveiro,Castelo de Paiva,Raiva,Agregação,"União das freguesias de Raiva, Pedorido e Paraíso"
Aveiro,Castelo de Paiva,Pedorido,Agregação,"União das freguesias de Raiva, Pedorido e Paraíso"
Aveiro,Castelo de Paiva,Paraíso,Agregação,"União das freguesias de Raiva, Pedorido e Paraíso"
Aveiro,Castelo de Paiva,Sobrado,Agregação,União das freguesias de Sobrado e Bairros
Aveiro,Castelo de Paiva,Bairros,Agregação,União das freguesias de Sobrado e Bairros
Aveiro,Espinho,Espinho,Sem alteração,Espinho
Aveiro,Espinho,Paramos,Sem alteração,Paramos
Aveiro,Espinho,Silvalde,Sem alteração,Silvalde
Aveiro,Espinho,Anta,Agregação,União das freguesias de Anta e Guetim
Aveiro,Espinho,Guetim,Agregação,União das freguesias de Anta e Guetim
Aveiro,Estarreja,Avanca,Sem alteração,Avanca
Aveiro,Estarreja,Pardilhó,Sem alteração,Pardilhó
Aveiro,Estarreja,Salreu,Sem alteração,Salreu
Aveiro,Estarreja,Beduído,Agregação,União das freguesias de Beduído e Veiros
Aveiro,Estarreja,Veiros,Agregação,União das freguesias de Beduído e Veiros
Aveiro,Estarreja,Canelas,Agregação,União das freguesias de Canelas e Fermelã
Aveiro,Estarreja,Fermelã,Agregação,União das freguesias de Canelas e Fermelã
Aveiro,Santa Maria da Feira,Argoncilhe,Sem alteração,Argoncilhe
Aveiro,Santa Maria da Feira,Arrifana,Sem alteração,Arrifana
Aveiro,Santa Maria da Feira,Escapães,Sem alteração,Escapães
Aveiro,Santa Maria da Feira,Fiães,Sem alteração,Fiães
Aveiro,Santa Maria da Feira,Fornos,Sem alteração,Fornos
Aveiro,Santa Maria da Feira,Lourosa,Sem alteração,Lourosa
Aveiro,Santa Maria da Feira,Milheirós de Poiares,Sem alteração,Milheirós de Poiares
Aveiro,Santa Maria da Feira,Mozelos,Sem alteração,Mozelos
Aveiro,Santa Maria da Feira,Nogueira da Regedoura,Sem alteração,Nogueira da Regedoura
Aveiro,Santa Maria da Feira,São Paio de Oleiros,Sem alteração,São Paio de Oleiros
Aveiro,Santa Maria da Feira,Paços de Brandão,Sem alteração,Paços de Brandão
Aveiro,Santa Maria da Feira,Rio Meão,Sem alteração,Rio Meão
Aveiro,Santa Maria da Feira,Romariz,Sem alteração,Romariz
Aveiro,Santa Maria da Feira,Sanguedo,Sem alteração,Sanguedo
Aveiro,Santa Maria da Feira,Santa Maria de Lamas,Sem alteração,Santa Maria de Lamas
Aveiro,Santa Maria da Feira,São João de Ver,Sem alteração,São João de Ver
Aveiro,Santa Maria da Feira,Caldas de São Jorge,Agregação,União das freguesias de Caldas de São Jorge e Pigeiros
Aveiro,Santa Maria da Feira,Pigeiros,Agregação,União das freguesias de Caldas de São Jorge e Pigeiros
Aveiro,Santa Maria da Feira,Canedo,Agregação,"União das freguesias de Canedo, Vale e Vila Maior"
Aveiro,Santa Maria da Feira,Vale,Agregação,"União das freguesias de Canedo, Vale e Vila Maior"
Aveiro,Santa Maria da Feira,Vila Maior,Agregação,"União das freguesias de Canedo, Vale e Vila Maior"
Aveiro,Santa Maria da Feira,Lobão,Agregação,"União das freguesias de Lobão, Gião, Louredo e Guisande"
Aveiro,Santa Maria da Feira,Gião,Agregação,"União das freguesias de Lobão, Gião, Louredo e Guisande"
Aveiro,Santa Maria da Feira,Louredo,Agregação,"União das freguesias de Lobão, Gião, Louredo e Guisande"
Aveiro,Santa Maria da Feira,Guisande,Agregação,"União das freguesias de Lobão, Gião, Louredo e Guisande"
Aveiro,Santa Maria da Feira,Feira,Agregação,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo"
Aveiro,Santa Maria da Feira,Travanca,Agregação,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo"
Aveiro,Santa Maria da Feira,Sanfins,Agregação,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo"
Aveiro,Santa Maria da Feira,Espargo,Agregação,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo"
Aveiro,Santa Maria da Feira,Souto,Agregação,União das freguesias de São Miguel do Souto e Mosteirô
Aveiro,Santa Maria da Feira,Mosteiró,Agregação,União das freguesias de São Miguel do Souto e Mosteirô
Aveiro,Ílhavo,Gafanha da Encarnação,Alteração dos Limites e Destinos Múltiplos,Gafanha da Encarnação
Aveiro,Ílhavo,Gafanha da Nazaré,Alteração dos Limites,Gafanha da Nazaré
Aveiro,Ílhavo,Gafanha do Carmo,Alteração dos Limites e Destinos Múltiplos,Gafanha do Carmo
Aveiro,Ílhavo,Ílhavo (São Salvador),Alteração dos Limites e Destinos Múltiplos,Ílhavo (São Salvador)
Aveiro,Mealhada,Barcouço,Sem alteração,Barcouço
Aveiro,Mealhada,Casal Comba,Sem alteração,Casal Comba
Aveiro,Mealhada,Luso,Sem alteração,Luso
Aveiro,Mealhada,Pampilhosa,Sem alteração,Pampilhosa
Aveiro,Mealhada,Vacariça,Sem alteração,Vacariça
Aveiro,Mealhada,Mealhada,Agregação,"União das freguesias da Mealhada, Ventosa do Bairro e Antes"
Aveiro,Mealhada,Ventosa do Bairro,Agregação,"União das freguesias da Mealhada, Ventosa do Bairro e Antes"
Aveiro,Mealhada,Antes,Agregação,"União das freguesias da Mealhada, Ventosa do Bairro e Antes"
Aveiro,Murtosa,Bunheiro,Sem alteração,Bunheiro
Aveiro,Murtosa,Monte,Sem alteração,Monte
Aveiro,Murtosa,Murtosa,Sem alteração,Murtosa
Aveiro,Murtosa,Torreira,Sem alteração,Torreira
Aveiro,Oliveira de Azeméis,Carregosa,Sem alteração,Carregosa
Aveiro,Oliveira de Azeméis,Cesar,Sem alteração,Cesar
Aveiro,Oliveira de Azeméis,Fajões,Sem alteração,Fajões
Aveiro,Oliveira de Azeméis,Loureiro,Sem alteração,Loureiro
Aveiro,Oliveira de Azeméis,Macieira de Sarnes,Sem alteração,Macieira de Sarnes
Aveiro,Oliveira de Azeméis,Ossela,Sem alteração,Ossela
Aveiro,Oliveira de Azeméis,São Martinho da Gândara,Sem alteração,São Martinho da Gândara
Aveiro,Oliveira de Azeméis,São Roque,Sem alteração,São Roque
Aveiro,Oliveira de Azeméis,Vila de Cucujães,Sem alteração,Vila de Cucujães
Aveiro,Oliveira de Azeméis,Nogueira do Cravo,Agregação,União das freguesias de Nogueira do Cravo e Pindelo
Aveiro,Oliveira de Azeméis,Pindelo,Agregação,União das freguesias de Nogueira do Cravo e Pindelo
Aveiro,Oliveira de Azeméis,Oliveira de Azeméis,Agregação,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail"
Aveiro,Oliveira de Azeméis,Santiago de Riba-Ul,Agregação,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail"
Aveiro,Oliveira de Azeméis,Ul,Agregação,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail"
Aveiro,Oliveira de Azeméis,Macinhata da Seixa,Agregação,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail"
Aveiro,Oliveira de Azeméis,Madail,Agregação,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail"
Aveiro,Oliveira de Azeméis,Pinheiro da Bemposta,Agregação,"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz"
Aveiro,Oliveira de Azeméis,Travanca,Agregação,"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz"
Aveiro,Oliveira de Azeméis,Palmaz,Agregação,"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz"
Aveiro,Oliveira do Bairro,Oiã,Sem alteração,Oiã
Aveiro,Oliveira do Bairro,Oliveira do Bairro,Sem alteração,Oliveira do Bairro
Aveiro,Oliveira do Bairro,Palhaça,Sem alteração,Palhaça
Aveiro,Oliveira do Bairro,Bustos,Agregação,"União das freguesias de Bustos, Troviscal e Mamarrosa"
Aveiro,Oliveira do Bairro,Troviscal,Agregação,"União das freguesias de Bustos, Troviscal e Mamarrosa"
Aveiro,Oliveira do Bairro,Mamarrosa,Agregação,"União das freguesias de Bustos, Troviscal e Mamarrosa"
Aveiro,Ovar,Cortegaça,Sem alteração,Cortegaça
Aveiro,Ovar,Esmoriz,Sem alteração,Esmoriz
Aveiro,Ovar,Maceda,Sem alteração,Maceda
Aveiro,Ovar,Válega,Sem alteração,Válega
