cod_postal,Distrito,Concelho,Freguesia,Distrito_map,Concelho_map,Freguesia_map,Alteração RATF,Freguesia Final (Pós RATF)
3750328,Aveiro,Águeda,,,,,,
3750332,Aveiro,Águeda,,,,,,
3750354,Aveiro,Águeda,,,,,,
3750553,Aveiro,Águeda,,,,,,
3750757,Aveiro,Águeda,,,,,,
3750408,Aveiro,Águeda,,,,,,
3750071,Aveiro,Águeda,,,,,,
3850160,Aveiro,Albergaria-a-Velha,,,,,,
3850271,Aveiro,Albergaria-a-Velha,,,,,,
3850274,Aveiro,Albergaria-a-Velha,,,,,,
3780610,Aveiro,Anadia,,,,,,
4540198,Aveiro,Arouca,,,,,,
4540199,Aveiro,Arouca,,,,,,
4540510,Aveiro,Arouca,,,,,,
4540731,Aveiro,Arouca,,,,,,
4540587,Aveiro,Arouca,,,,,,
3810710,Aveiro,Aveiro,,,,,,
3800512,Aveiro,Aveiro,,,,,,
3800229,Aveiro,Aveiro,,,,,,
3800643,Aveiro,Aveiro,,,,,,
3800642,Aveiro,Aveiro,,,,,,
3800743,Aveiro,Aveiro,,,,,,
3800750,Aveiro,Aveiro,,,,,,
3800822,Aveiro,Aveiro,,,,,,
3800825,Aveiro,Aveiro,,,,,,
3810759,Aveiro,Aveiro,,,,,,
3810789,Aveiro,Aveiro,,,,,,
3810932,Aveiro,Aveiro,,,,,,
4550168,Aveiro,Castelo de Paiva,,,,,,
4550164,Aveiro,Castelo de Paiva,,,,,,
4550166,Aveiro,Castelo de Paiva,,,,,,
4550165,Aveiro,Castelo de Paiva,,,,,,
4550167,Aveiro,Castelo de Paiva,,,,,,
4550633,Aveiro,Castelo de Paiva,,,,,,
4550634,Aveiro,Castelo de Paiva,,,,,,
4550729,Aveiro,Castelo de Paiva,,,,,,
4550473,Aveiro,Castelo de Paiva,,,,,,
3860162,Aveiro,Estarreja,,,,,,
3860161,Aveiro,Estarreja,,,,,,
3860410,Aveiro,Estarreja,,,,,,
3865154,Aveiro,Estarreja,,,,,,
3830793,Aveiro,Ílhavo,,,,,,
3830046,Aveiro,Ílhavo,,,,,,
3830385,Aveiro,Ílhavo,,,,,,
3870504,Aveiro,Murtosa,,,,,,
3870503,Aveiro,Murtosa,,,,,,
3870420,Aveiro,Murtosa,,,,,,
3720834,Aveiro,Oliveira de Azeméis,,,,,,
3720357,Aveiro,Oliveira de Azeméis,,,,,,
3720103,Aveiro,Oliveira de Azeméis,,,,,,
3700704,Aveiro,Oliveira de Azeméis,,,,,,
3700917,Aveiro,Oliveira de Azeméis,,,,,,
3720578,Aveiro,Oliveira de Azeméis,,,,,,
3770361,Aveiro,Oliveira do Bairro,,,,,,
3885349,Aveiro,Ovar,,,,,,
3700918,Aveiro,Santa Maria da Feira,,,,,,
4535581,Aveiro,Santa Maria da Feira,,,,,,
4535196,Aveiro,Santa Maria da Feira,,,,,,
4500850,Aveiro,Santa Maria da Feira,,,,,,
4505664,Aveiro,Santa Maria da Feira,,,,,,
4505663,Aveiro,Santa Maria da Feira,,,,,,
4520829,Aveiro,Santa Maria da Feira,,,,,,
4520830,Aveiro,Santa Maria da Feira,,,,,,
4520631,Aveiro,Santa Maria da Feira,,,,,,
4535435,Aveiro,Santa Maria da Feira,,,,,,
4525605,Aveiro,Santa Maria da Feira,,,,,,
4525606,Aveiro,Santa Maria da Feira,,,,,,
4520039,Aveiro,Santa Maria da Feira,,,,,,
4505870,Aveiro,Santa Maria da Feira,,,,,,
4505680,Aveiro,Santa Maria da Feira,,,,,,
3700208,Aveiro,São João da Madeira,,,,,,
3700213,Aveiro,São João da Madeira,,,,,,
3700919,Aveiro,São João da Madeira,,,,,,
3700920,Aveiro,São João da Madeira,,,,,,
3740189,Aveiro,Sever do Vouga,,,,,,
3740138,Aveiro,Sever do Vouga,,,,,,
3740188,Aveiro,Sever do Vouga,,,,,,
3840102,Aveiro,Vagos,,,,,,
3730176,Aveiro,Vale de Cambra,,,,,,
3730298,Aveiro,Vale de Cambra,,,,,,
3730661,Aveiro,Vale de Cambra,,,,,,
3730346,Aveiro,Vale de Cambra,,,,,,
3730658,Aveiro,Vale de Cambra,,,,,,
7600142,Beja,Aljustrel,,,,,,
7600141,Beja,Aljustrel,,,,,,
7600140,Beja,Aljustrel,,,,,,
7600306,Beja,Aljustrel,,,,,,
7600504,Beja,Aljustrel,,,,,,
7700039,Beja,Almodôvar,,,,,,
